"Year","Mo","Dy","Tsu","Eq","Name","Location","Country","Latitude","Longitude","Elevation..m.","Type","Eruption","VEI","Agent","Deaths","Death.Description","Missing","Missing.Description","Injuries","Injuries.Description","Damage...Mil.","Damage.Description","Houses.Destroyed","Houses.Destroyed.Description","Total.Deaths","Total.Death.Description","Total.Missing","Total.Missing.Description","Total.Injuries","Total.Injuries.Description","Total.Damage...Mil.","Total.Damage.Description","Total.Houses.Destroyed","Total.Houses.Destroyed.Description"
1993,2,2,NA,NA,"Mayon","Luzon-Philippines","Philippines",13.257,123.685,2462,"Stratovolcano","true",2,"P",75,2,NA,NA,NA,NA,NA,NA,NA,NA,75,2,NA,NA,NA,NA,NA,NA,NA,NA
1993,3,12,NA,NA,"Guagua Pichincha","Ecuador","Ecuador",-0.171,-78.598,4784,"Stratovolcano","true",1,"T",2,1,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA
1993,4,19,NA,NA,"Kilauea","Hawaiian Is","United States",19.421,-155.287,1222,"Shield volcano","true",NA,"A",1,1,NA,NA,22,1,NA,NA,NA,NA,1,1,NA,NA,22,1,NA,NA,NA,NA
1993,6,13,NA,NA,"Krakatau","Indonesia","Indonesia",-6.101,105.423,285,"Caldera","true",1,"T",1,1,NA,NA,5,1,NA,NA,NA,NA,1,1,NA,NA,5,1,NA,NA,NA,NA
1993,6,23,NA,NA,"Unzendake","Kyushu-Japan","Japan",32.761,130.299,1483,"Complex volcano","true",1,"P",1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,1
1993,6,26,NA,NA,"Pinatubo","Luzon-Philippines","Philippines",15.13,120.35,1486,"Stratovolcano","true",1,"m",4,1,NA,NA,NA,NA,NA,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA
1993,10,4,NA,NA,"Pinatubo","Luzon-Philippines","Philippines",15.13,120.35,1486,"Stratovolcano","true",NA,"m",14,1,NA,NA,NA,NA,NA,NA,NA,NA,14,1,NA,NA,NA,NA,NA,NA,NA,NA
1994,1,15,NA,NA,"Yasur","Vanuatu-SW Pacific","Vanuatu",-19.532,169.447,361,"Stratovolcano","true",3,"T",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
1994,2,3,NA,NA,"Semeru","Java","Indonesia",-8.108,112.922,3657,"Stratovolcano","true",3,"P",6,1,NA,NA,NA,NA,NA,NA,NA,NA,6,1,NA,NA,NA,NA,NA,NA,NA,NA
1994,5,29,NA,NA,"Asosan","Kyushu-Japan","Japan",32.885,131.085,1592,"Caldera","true",1,"G",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
1994,6,6,NA,5387,"Huila, Nevado del","Colombia","Colombia",2.93,-76.03,5364,"Stratovolcano","true",NA,"m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,650,3,NA,NA,NA,NA,2.4,2,200,3
1994,7,8,5926,NA,"Kilauea","Hawaiian Is","United States",19.421,-155.287,1222,"Shield volcano","true",3,"W",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,9,19,2229,NA,"Rabaul","New Britain-SW Pac","Papua New Guinea",-4.246,152.194,688,"Pyroclastic shield","true",3,"T,W,E",4,1,NA,NA,NA,NA,86,4,NA,NA,5,1,NA,NA,NA,NA,86,4,NA,1
1994,11,3,NA,NA,"Rinjani","Lesser Sunda Is","Indonesia",-8.42,116.47,3726,"Stratovolcano","true",3,"m",31,1,NA,NA,NA,NA,NA,NA,NA,NA,31,1,NA,NA,NA,NA,NA,NA,NA,NA
1994,11,22,NA,NA,"Merapi","Java","Indonesia",-7.54,110.446,2910,"Stratovolcano","true",3,"P",66,2,NA,NA,100,2,NA,NA,NA,NA,66,2,NA,NA,100,2,NA,NA,NA,NA
1995,2,4,NA,NA,"Yasur","Vanuatu-SW Pacific","Vanuatu",-19.532,169.447,361,"Stratovolcano","true",3,"T",2,1,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA
1995,2,11,NA,NA,"Yakedake","Honshu-Japan","Japan",36.227,137.587,2455,"Stratovolcano","true",1,"T",4,1,NA,NA,NA,NA,NA,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA
1995,4,2,NA,NA,"Fogo","Cape Verde Is","Cape Verde",14.95,-24.35,2829,"Stratovolcano","true",2,"",NA,NA,NA,NA,20,1,NA,1,10,1,NA,NA,NA,NA,20,1,NA,1,10,1
1995,4,7,NA,NA,"Pacaya","Guatemala","Guatemala",14.382,-90.601,2569,"Complex volcano","true",3,"M",1,1,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,1,1,1
1996,1,2,2392,NA,"Karymsky","Kamchatka","Russia",54.049,159.443,1513,"Stratovolcano","true",2,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,4,30,NA,NA,"Popocatepetl","Mexico","Mexico",19.023,-98.622,5393,"Stratovolcano","true",3,"",5,1,NA,NA,NA,NA,NA,1,NA,NA,5,1,NA,NA,NA,NA,NA,1,NA,NA
1996,8,10,NA,NA,"Kanlaon","Philippines-C","Philippines",10.41,123.13,2422,"Stratovolcano","true",2,"T",3,1,NA,NA,18,1,NA,NA,NA,NA,3,1,NA,NA,18,1,NA,NA,NA,NA
1996,9,30,NA,NA,"Grimsvotn","Iceland-NE","Iceland",64.416,-17.316,1719,"Caldera","true",3,"",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
1996,12,3,NA,NA,"Manam","New Guinea-NE of","Papua New Guinea",-4.08,145.037,1807,"Stratovolcano","true",3,"P",13,1,NA,NA,29,1,NA,NA,NA,NA,13,1,NA,NA,29,1,NA,NA,NA,NA
1997,1,14,NA,NA,"Merapi","Java","Indonesia",-7.54,110.446,2910,"Stratovolcano","true",2,"",6,1,NA,NA,NA,1,NA,NA,NA,NA,6,1,NA,NA,NA,1,NA,NA,NA,NA
1997,4,17,NA,NA,"Karangetang","Sangihe Is-Indonesia","Indonesia",2.781,125.407,1797,"Stratovolcano","true",1,"P",3,1,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA
1997,6,25,NA,NA,"Soufriere Hills","W Indies","Montserrat",16.72,-62.18,915,"Stratovolcano","true",3,"P",22,1,1,NA,NA,NA,NA,NA,NA,NA,22,1,NA,NA,NA,NA,NA,NA,NA,NA
1997,8,1,NA,NA,"Soufriere Hills","W Indies","Montserrat",16.72,-62.18,915,"Stratovolcano","true",3,"",2,1,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA
1997,9,2,NA,NA,"Semeru","Java","Indonesia",-8.108,112.922,3657,"Stratovolcano","true",3,"T",2,1,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA
1997,12,26,2279,NA,"Soufriere Hills","W Indies","Montserrat",16.72,-62.18,915,"Stratovolcano","true",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998,4,28,NA,NA,"Kilauea","Hawaiian Is","United States",19.421,-155.287,1222,"Shield volcano","true",NA,"L",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999,1,20,2880,NA,"Soufriere Hills","W Indies","Montserrat",16.72,-62.18,915,"Stratovolcano","true",3,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999,5,21,NA,NA,"Fuego","Guatemala","Guatemala",14.473,-90.88,3763,"Stratovolcano","true",2,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999,8,15,NA,NA,"Sheveluch","Kamchatka","Russia",56.653,161.36,3283,"Stratovolcano","true",4,"",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999,10,5,NA,NA,"Guagua Pichincha","Ecuador","Ecuador",-0.171,-78.598,4784,"Stratovolcano","true",3,"T",2,1,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA
