"Volcano Number","Volcano Name","Country","Volcanic Region Group","Volcanic Region","Volcano Landform","Primary Volcano Type","Activity Evidence","Last Known Eruption","Latitude","Longitude","Elevation (m)","Dominant Rock Type","Tectonic Setting"
"355106","Negros de Aras","Chile","South America Volcanic Regions","Central Andean Volcanic Arc","Cluster","Pyroclastic cone(s)",NA,NA,"-24.18","-68.25","3500","Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)"
"355140","Copiapo","Chile","South America Volcanic Regions","Central Andean Volcanic Arc","Composite","Stratovolcano",NA,NA,"-27.3","-69.13","6052","Dacite","Subduction zone / Continental crust (>25 km)"
"355150","Tuzgle","Argentina","South America Volcanic Regions","Central Andean Volcanic Arc","Composite","Stratovolcano",NA,NA,"-24.0562","-66.478999999999999","5486","Dacite","Subduction zone / Continental crust (>25 km)"
"355180","Antofagasta Volcanic Field","Argentina","South America Volcanic Regions","Central Andean Volcanic Arc","Cluster","Volcanic field",NA,NA,"-26.12","-67.400000000000006","3495","Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)"
"355805","Lexone","Chile","South America Volcanic Regions","Central Andean Volcanic Arc","Minor","Lava dome(s)",NA,NA,"-17.87","-69.48","5340",NA,"Subduction zone / Continental crust (>25 km)"
"355806","Anallajsi, Nevado","Bolivia","South America Volcanic Regions","Central Andean Volcanic Arc","Composite","Stratovolcano",NA,NA,"-17.920000000000002","-68.92","5750",NA,"Subduction zone / Continental crust (>25 km)"
"355807","Pucara, Cerro","Bolivia","South America Volcanic Regions","Central Andean Volcanic Arc","Cluster","Volcanic field",NA,NA,"-16.236000000000001","-69.471000000000004","4080",NA,"Unknown"
"355808","Patilla Pata","Bolivia","South America Volcanic Regions","Central Andean Volcanic Arc","Composite","Stratovolcano",NA,NA,"-18.05","-69.03","5300",NA,"Subduction zone / Continental crust (>25 km)"
"355809","Sajama, Nevado del","Bolivia","South America Volcanic Regions","Central Andean Volcanic Arc","Composite","Stratovolcano",NA,NA,"-18.100000000000001","-68.88","6542",NA,"Subduction zone / Continental crust (>25 km)"
"355810","Larancagua, Volcan","Chile","South America Volcanic Regions","Central Andean Volcanic Arc","Composite","Stratovolcano",NA,NA,"-18.02","-69.08","5580",NA,"Unknown"
"355811","Caquena","Chile","South America Volcanic Regions","Central Andean Volcanic Arc","Minor","Lava dome(s)",NA,NA,"-18.07","-69.22","0",NA,"Subduction zone / Continental crust (>25 km)"
"355812","Vilacollo","Chile","South America Volcanic Regions","Central Andean Volcanic Arc","Minor","Pyroclastic cone(s)",NA,NA,"-18.241","-69.307000000000002","4688",NA,"Subduction zone / Continental crust (>25 km)"
"355813","Acotango","Chile-Bolivia","South America Volcanic Regions","Central Andean Volcanic Arc","Composite","Stratovolcano(es)",NA,NA,"-18.37","-69.05","6052",NA,"Subduction zone / Continental crust (>25 km)"
"355814","Arintica","Chile","South America Volcanic Regions","Central Andean Volcanic Arc","Composite","Stratovolcano(es)",NA,NA,"-18.75","-69.05","5597",NA,"Subduction zone / Continental crust (>25 km)"
"355815","Rochaculla-Inca Camacha","Bolivia","South America Volcanic Regions","Central Andean Volcanic Arc","Composite","Stratovolcano(es)",NA,NA,"-18.8","-68.3","5300",NA,"Unknown"
"355817","Tatajachura, Cerro","Chile","South America Volcanic Regions","Central Andean Volcanic Arc","Composite","Stratovolcano",NA,NA,"-19.5","-69.12","5240",NA,"Unknown"
"355818","Cariquima, Cerro","Chile","South America Volcanic Regions","Central Andean Volcanic Arc","Composite","Stratovolcano",NA,NA,"-19.55","-68.680000000000007","5365",NA,"Subduction zone / Continental crust (>25 km)"
