"Volcano Number","Volcano Name","Eruption Number","Eruption Category","Area of Activity","VEI","VEI Modifier","Start Year Modifier","Start Year","Start Year Uncertainty","Start Month","Start Day Modifier","Start Day","Start Day Uncertainty","Evidence Method (dating)","End Year Modifier","End Year","End Year Uncertainty","End Month","End Day Modifier","End Day","End Day Uncertainty"
"357110","Llaima","12025","Confirmed Eruption","NULL","2","NULL","NULL","1759","NULL","12","NULL","0","NULL","Observations: Reported","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"357110","Llaima","12061","Confirmed Eruption","Summit and SE crater","3","NULL","NULL","1955","NULL","10","NULL","22","NULL","Observations: Reported","NULL","1957","NULL","11","NULL","16","15"
"357110","Llaima","12068","Confirmed Eruption","NULL","1","NULL","NULL","1992","NULL","8","NULL","23","NULL","Observations: Reported","NULL","1992","NULL","9","NULL","2","NULL"
"357110","Llaima","12075","Confirmed Eruption","NULL","2","NULL","NULL","2003","NULL","4","NULL","9","NULL","Observations: Reported","NULL","2003","NULL","4",">","16","NULL"
"358030","Huequi","12268","Confirmed Eruption","NULL","2","NULL","NULL","1906","NULL","0","NULL","0","NULL","Observations: Reported","NULL","1907","NULL","0","NULL","0","NULL"
"211080","Marsili","20978","Confirmed Eruption","NULL","NULL","NULL","NULL","-1050","200","NULL","NULL","NULL","NULL","Isotopic: 14C (calibrated)","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"222120","Lengai, Ol Doinyo","13997","Confirmed Eruption","NULL","NULL","NULL","NULL","-1550","1500","0","NULL","0","NULL","Correlation: Tephrochronology","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"241070","Taupo","14533","Confirmed Eruption","Central, E-central L. Taupo (Opepe)","5","NULL","NULL","-8130","200","0","NULL","0","NULL","Isotopic: 14C (calibrated)","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"241070","Taupo","14540","Confirmed Eruption","2 km W of Te Kohaiakahu Point","3","NULL","?","-3120","NULL","0","NULL","0","NULL","Correlation: Tephrochronology","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"257040","Ambrym","15269","Confirmed Eruption","Marum","2","NULL","NULL","1959","NULL","4","NULL","16","15","Observations: Reported","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"257040","Ambrym","15276","Confirmed Eruption","Benbow, Marum","3","NULL","NULL","1972","NULL","4","NULL","15","NULL","Observations: Reported","NULL","1972","NULL","8","NULL","15","NULL"
"257040","Ambrym","15262","Confirmed Eruption","Benbow","4","+","NULL","1950","NULL","12","NULL","6","NULL","Observations: Reported","NULL","1951","NULL","11","NULL","25","5"
"267020","Karangetang","16498","Confirmed Eruption","Crater II?","2","NULL","NULL","1883","NULL","8","NULL","25","NULL","Observations: Reported","NULL","1883","NULL","8","NULL","26","NULL"
"267020","Karangetang","16505","Confirmed Eruption","Crater V","2","NULL","NULL","1921","NULL","3","NULL","0","NULL","Observations: Reported","NULL","1921","NULL","6",">","0","NULL"
"267020","Karangetang","16512","Confirmed Eruption","NULL","2","NULL","NULL","1940","NULL","3","NULL","1","NULL","Observations: Reported","NULL","1940","NULL","3","NULL","9","NULL"
"267020","Karangetang","16541","Confirmed Eruption","NULL","1","NULL","NULL","2006","NULL","7","NULL","3","NULL","Observations: Reported","NULL","2007","NULL","10",">","16","15"
"282080","Aira","17041","Confirmed Eruption","Kita-dake","4","NULL","?","-3050","NULL","0","NULL","0","NULL","Isotopic: 14C (uncalibrated)","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"282080","Aira","17048","Confirmed Eruption","NULL","3","^","NULL","766","NULL","7","NULL","20","NULL","Observations: Reported","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"282080","Aira","17084","Confirmed Eruption","East flank of Minami-dake (750 m)","2","NULL","NULL","1946","NULL","1","NULL","0","NULL","Observations: Reported","NULL","1946","NULL","11","NULL","0","NULL"
"282080","Aira","17034","Confirmed Eruption","Kita-dake","NULL","NULL","?","-7750","NULL","0","NULL","0","NULL","Isotopic: 14C (uncalibrated)","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"283030","Fujisan","17448","Confirmed Eruption","NULL","2","?","NULL","1511","NULL","9","NULL","1","30","Observations: Reported","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"283030","Fujisan","17391","Confirmed Eruption","NULL","NULL","NULL","NULL","-7530","300","0","NULL","0","NULL","Isotopic: 14C (uncalibrated)","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"283030","Fujisan","17398","Confirmed Eruption","NULL","NULL","NULL","NULL","-4730","500","0","NULL","0","NULL","Correlation: Tephrochronology","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
